Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KEC57,162.55,,0,Tone,0,0,23,NN,FM,5,,Weather,,,,
1,UnivHail,146.52,,0,Tone,69.3,88.5,23,NN,FM,5,,Simplex Universal Hailing Frequency,,,,
2,W6EK,145.43,,-0.6,Tone,162.2,162.2,23,NN,FM,5,,"Sierrra Foothills Amature Radio Club, Auburn",,,,
3,W6AK,146.91,,-0.6,Tone,162.2,162.2,23,NN,FM,5,,"Sacramento Amateure Radio Club, downtown (ARES & RACES)",,,,
4,K6IS,145.19,,-0.6,Tone,162.2,162.2,23,NN,FM,5,,"North Hills ARC, Folsom",,,,
5,N6NA,145.25,,-0.6,Tone,162.2,162.2,23,NN,FM,5,,River City ARC,,,,
6,AB6OP,146.985,,-0.6,Tone,94.8,94.8,23,NN,FM,5,,,,,,
7,W6HIR,146.79,,-0.6,Tone,100,100,23,NN,FM,5,,RAMS Club,,,,
8,KS6HRP,146.61,,-0.6,Tone,136.5,136.5,23,NN,FM,5,,Sac. County Sherriffs ARP,,,,
9,KC6MHT,145.23,,-0.6,Tone,162.2,162.2,23,NN,FM,5,,Cal State Sac ARC,,,,
10,W6AEX,147.27,,-0.6,Tone,77,77,23,NN,FM,5,,Mount Vaca,,,,
11,KE6OBO,145.11,,-0.6,Tone,103.5,103.5,23,NN,FM,5,,El Grove,,,,
12,WD6EJF,145.39,,-0.6,Tone,136.5,136.5,23,NN,FM,5,,"Stanislaus ARA, www.saraclub.net",,,,
13,W6SF,147.165,,-0.6,Tone,107.2,107.2,23,NN,FM,5,,Stockton-Delta ARC,,,,
14,WB6ASU,147.09,,-0.6,Tone,114.8,114.8,23,NN,FM,5,,"Lodi ARC, Bear Mountain",,,,
15,WB6ASU,145.13,,-0.6,Tone,162.2,162.2,23,NN,FM,5,,Lodi ARC,,,,
16,K6IOK,145.13,,-0.6,Tone,114.8,114.8,23,NN,FM,5,,Placer ARES ï¿½ Auburn,,,,
17,W6YDD,146.355,,-0.6,Tone,107.2,162.2,23,NN,FM,5,,Yabba Dabba Do RC Foresthill,,,,
18,W6YDD,146.625,,-0.6,Tone,151.4,151.4,23,NN,FM,5,,Yabba Dabba Do RC Foresthill,,,,
19,W6YDD,146.625,,-0.6,Tone,123,123,23,NN,FM,5,,Yabba Dabba Do RC Foresthill,,,,
20,W6YDD,146.625,,-0.6,Tone,100,100,23,NN,FM,5,,Yabba Dabba Do RC Foresthill,,,,
21,K6MVR,147,,-0.6,Tone,136.5,136.5,23,NN,FM,5,,Mount Vaca RC,,,,
22,W6VVR,145.47,,-0.6,Tone,127.3,127.3,23,NN,FM,5,,Vaca Valley RC,,,,
23,KE6YUV,146.97,,-0.6,Tone,123,123,23,NN,FM,5,,"Berryessa ARC, barkradio.org",,,,
24,W6CX,147.06,,-0.6,Tone,100,100,23,NN,FM,5,,Mount Diablo ARC,,,,
25,K6POU,145.33,,-0.6,Tone,100,100,23,NN,FM,5,,Mount Diablo  ,,,,
26,WDD,147.28,,-0.6,Tone,151.4,151.4,23,NN,FM,5,,"Nevada County ARC, Wolf Mountain",,,,
27,W6DD,147.015,,-0.6,Tone,151.4,151.4,23,NN,FM,5,,"Nevada County ARC, Wolf Mountain",,,,
28,K6PAC,147.3,,-0.6,Tone,67,67,23,NN,FM,5,,Western Placer ARC.,,,,
